1,0.8,0.66,0.57,0.25,0.2,0.45,0.44,0.35,0.31,0.39,0.26
0.8,1,0.68,0.55,0.25,0.22,0.42,0.43,0.33,0.25,0.35,0.25
0.66,0.68,1,0.62,0.2,0.18,0.4,0.39,0.32,0.19,0.29,0.13
0.57,0.55,0.62,1,0.22,0.21,0.38,0.35,0.3,0.3,0.28,0.2
0.25,0.25,0.2,0.22,1,0.81,0.39,0.35,0.27,0.18,0.24,0.15
0.2,0.22,0.18,0.21,0.81,1,0.42,0.36,0.3,0.18,0.25,0.17
0.45,0.42,0.4,0.38,0.39,0.42,1,0.83,0.62,0.44,0.58,0.43
0.44,0.43,0.39,0.35,0.35,0.36,0.83,1,0.6,0.43,0.58,0.43
0.35,0.33,0.32,0.3,0.27,0.3,0.62,0.6,1,0.51,0.55,0.6
0.31,0.25,0.19,0.3,0.18,0.18,0.44,0.43,0.51,1,0.75,0.7
0.39,0.35,0.29,0.28,0.24,0.25,0.58,0.58,0.55,0.75,1,0.62
0.26,0.25,0.13,0.2,0.15,0.17,0.43,0.43,0.6,0.7,0.62,1
